tomoID,beamtimeID,sampleID,resinID,epoxyID,tomoSeries,doseBoostTomogram,dose,accDose_series,resolution_r,resolution_nr,wkName_r,wkName_nr,wkLink_r,wkLink_nr
271,e17964,EPL-1,A,EMbed812,EPL-1_s1,0,17900000,17900000,84.03,81.87,C319_EPL1_cSAXS_271_hann,C319_EPL1_cSAXS_271_S00018-S00474_nr_hann,https://wklink.org/3696,https://wklink.org/7351
272,e17964,EPL-1,A,EMbed812,EPL-1_s1,0,84400000,102300000,68.68,60.18,C319_EPL1_cSAXS_272,C319_EPL1_cSAXS_272_S00476-S01389_nr_hann,https://wklink.org/2980,https://wklink.org/9695
273,e17964,EPL-1,A,EMbed812,EPL-1_s1,0,376000000,478300000,70.09,49.7,C319_EPL1_cSAXS_273_S1394toS2309,C319_EPL1_cSAXS_273_S01394-S02309_nr_hann,https://wklink.org/9921,https://wklink.org/3319
274,e17964,EPL-2,A,EMbed812,EPL-2_s1,0,264000000,264000000,95.77,63.33,C319_EPL2_cSAXS_274_S02338toS02637,C319_EPL2_cSAXS_274_S02338-S02939_nr_hann,https://wklink.org/2809,https://wklink.org/2231
391,e18604,EPL-3,A,EMbed812,EPL-3_s1,0,298000000,298000000,94.35,74.45,C319_EPL3_cSAXS_391,C319_EPL3_cSAXS_391_S00033-S00634_nr_hann,https://wklink.org/4484,https://wklink.org/7713
392,e18604,EPL-3,A,EMbed812,EPL-3_s1,0,301000000,599000000,81.68,64.53,C319_EPL3_cSAXS_392,C319_EPL3_cSAXS_392_S00639-S01241_nr_hann,https://wklink.org/7083,https://wklink.org/9352
393,e18604,EPL-3,A,EMbed812,EPL-3_s2,0,345000000,345000000,102.98,66.84,C319_EPL3_cSAXS_393,C319_EPL3_cSAXS_393_S01264-S01865_nr_hann,https://wklink.org/1057,https://wklink.org/7060
394,e18604,EPL-3,A,EMbed812,EPL-3_s2,0,311000000,656000000,81.78,60.94,C319_EPL3_cSAXS_394,C319_EPL3_cSAXS_394_S01870-S02473_nr_hann,https://wklink.org/5345,https://wklink.org/2681
358,e18536,EPL-5,A,EMbed812,EPL-5_s1,0,258000000,258000000,74.29,62.11,C319_EPL5_358_hann,C319_EPL5_cSAXS_358_S00026-S00632_nr_hann,https://wklink.org/4704,https://wklink.org/6004
359,e18536,EPL-5,A,EMbed812,EPL-5_s1,0,250000000,508000000,56.44,50.8,C319_EPL5_cSAXS_359_hann,C319_EPL5_cSAXS_359_S00637-S01243_nr_hann,https://wklink.org/2670,https://wklink.org/5887
